inspection_id,timestamp,ligne,produit,camera_id,defaut_detecte,type_defaut,confiance_ia_pct,score_qualite,largeur_mm,hauteur_mm,poids_g,temps_inspection_ms,decision,operateur_validation,shift,cout_non_qualite_mad
QC-00001,2026-02-20 21:15,Ligne Assemblage B,Pièce A,CAM-1,False,Aucun,71.38,77.42,49.45,75.97,115.08,19.6,Accepté,Validé,Nuit,6.03
QC-00002,2026-01-14 16:15,Presse A,Pièce B,CAM-2,True,Couleur,85.31,72.96,48.96,82.38,110.28,24.2,Rejet,Non vérifié,Matin,114.1
QC-00003,2026-05-11 08:00,Ligne Assemblage B,Boîte D,CAM-8,False,Aucun,81.51,65.88,48.79,75.48,129.83,273.8,Accepté,Corrigé,Nuit,2.46
QC-00004,2026-06-28 13:30,Machine Vision 2,Pièce C,CAM-2,True,Couleur,89.43,44.04,50.97,78.98,123.25,7.0,Rejet,Corrigé,Après-midi,62.35
QC-00005,2026-04-23 13:00,Machine Vision 2,Boîte D,CAM-2,True,Fissure,70.33,46.27,50.62,82.85,121.73,82.9,Accepté,Validé,Après-midi,44.14
QC-00006,2026-05-07 06:00,Presse A,Pièce B,CAM-2,False,Aucun,75.99,84.92,47.42,77.28,119.97,103.2,Accepté,Validé,Matin,2.81
QC-00007,2026-04-16 08:15,Presse A,Pièce A,CAM-5,False,Aucun,93.22,60.69,51.31,78.43,118.74,70.7,Accepté,Non vérifié,Matin,3.23
QC-00008,2026-06-29 11:15,Convoyeur C,Pièce B,CAM-6,False,Aucun,87.93,81.96,55.38,80.7,135.62,313.8,Accepté,Corrigé,Matin,6.55
QC-00009,2026-03-27 10:45,Convoyeur C,Boîte D,CAM-1,False,Aucun,73.96,52.92,47.57,79.6,136.62,83.3,Accepté,Non vérifié,Matin,2.96
QC-00010,2026-04-24 12:45,Presse A,Boîte D,CAM-6,False,Aucun,81.3,96.0,47.88,82.61,132.07,172.4,Accepté,Non vérifié,Après-midi,0.59
QC-00011,2026-06-24 10:00,Ligne Assemblage B,Pièce A,CAM-4,False,Aucun,80.24,91.79,49.34,81.51,129.37,88.5,Accepté,Non vérifié,Matin,4.62
QC-00012,2026-02-22 09:45,Machine Vision 2,Pièce C,CAM-5,False,Aucun,82.56,56.92,50.15,83.54,124.82,59.4,Accepté,Non vérifié,Après-midi,5.03
QC-00013,2026-05-24 22:30,Machine Vision 1,Boîte D,CAM-7,False,Aucun,74.43,63.27,49.55,85.67,123.42,19.1,Accepté,Non vérifié,Matin,7.75
QC-00014,2026-05-08 20:45,Machine Vision 2,Boîte D,CAM-8,False,Aucun,82.11,97.58,50.73,72.1,121.03,28.8,Accepté,Non vérifié,Après-midi,5.29
QC-00015,2026-03-24 17:30,Machine Vision 2,Pièce A,CAM-3,False,Aucun,84.45,94.78,48.79,77.45,99.93,62.5,Accepté,Corrigé,Matin,3.64
QC-00016,2026-06-07 09:15,Convoyeur C,Pièce B,CAM-6,False,Aucun,93.42,76.4,47.96,84.49,105.57,78.7,Accepté,Validé,Nuit,1.4
QC-00017,2026-06-05 14:30,Presse A,Pièce A,CAM-1,False,Aucun,96.6,95.86,52.63,79.52,111.8,157.3,Accepté,Validé,Matin,7.56
QC-00018,2026-03-15 22:15,Machine Vision 2,Boîte D,CAM-5,False,Aucun,86.27,60.12,51.95,78.5,116.78,94.8,Accepté,Non vérifié,Nuit,2.19
QC-00019,2026-06-28 15:45,Machine Vision 1,Pièce B,CAM-4,False,Aucun,78.97,57.12,54.3,81.19,123.99,151.3,Accepté,Non vérifié,Nuit,1.6
QC-00020,2026-02-11 15:00,Presse A,Pièce A,CAM-7,True,Dimension,82.06,27.84,52.27,76.17,105.81,6.8,Rejet,Validé,Après-midi,177.26
QC-00021,2026-05-04 13:45,Machine Vision 2,Pièce C,CAM-6,False,Aucun,70.99,82.27,50.07,,125.98,66.5,Accepté,Corrigé,Nuit,3.72
QC-00022,2026-03-01 18:15,Convoyeur C,Pièce B,CAM-3,False,Aucun,81.71,84.37,49.44,80.83,118.99,60.4,Accepté,Non vérifié,Nuit,1.96
QC-00023,2026-03-19 10:15,Machine Vision 2,Pièce B,CAM-2,False,Aucun,81.68,98.16,51.38,86.84,133.89,55.3,Accepté,Non vérifié,Nuit,2.73
QC-00024,2026-05-20 10:15,Convoyeur C,Pièce A,CAM-6,False,Aucun,94.38,83.52,48.86,85.03,134.37,14.5,Accepté,Validé,Matin,
QC-00025,2026-03-12 08:15,Machine Vision 2,Boîte D,CAM-2,False,Aucun,,62.33,51.16,79.56,121.37,54.0,Accepté,Non vérifié,Matin,2.87
QC-00026,2026-05-08 18:00,Presse A,Pièce A,CAM-7,False,Aucun,92.39,51.08,50.69,79.91,117.75,58.4,Accepté,Corrigé,Après-midi,7.56
QC-00027,2026-05-01 20:45,Presse A,Pièce B,CAM-8,False,Aucun,91.63,81.9,49.67,81.39,118.53,77.8,Accepté,Non vérifié,Matin,4.58
QC-00028,2026-05-29 14:30,Presse A,Boîte D,CAM-5,True,Fissure,90.18,48.5,48.31,85.61,121.71,123.9,Rejet,Corrigé,Après-midi,141.12
QC-00029,2026-06-11 18:30,Convoyeur C,Pièce C,CAM-3,False,Aucun,82.49,56.72,51.11,79.21,126.38,115.7,Accepté,Non vérifié,Nuit,1.82
QC-00030,2026-04-29 12:00,Ligne Assemblage B,Pièce B,CAM-3,False,Aucun,86.37,83.36,53.67,75.24,108.12,48.1,Accepté,Corrigé,Matin,2.85
QC-00031,2026-03-31 18:30,Presse A,Pièce C,CAM-3,False,Aucun,92.83,51.51,50.86,80.74,110.21,49.4,Accepté,Corrigé,Matin,1.16
QC-00032,2026-02-28 08:30,Ligne Assemblage B,Pièce C,CAM-4,True,Assemblage,77.31,31.67,50.78,83.04,118.34,19.6,Rejet,Non vérifié,Après-midi,62.72
QC-00033,2026-05-19 09:00,Ligne Assemblage B,Pièce C,CAM-4,False,Aucun,83.8,90.64,44.67,78.26,119.48,50.3,Accepté,Validé,Nuit,0.23
QC-00034,2026-04-02 09:15,Convoyeur C,Pièce A,CAM-4,False,Aucun,96.71,61.51,50.23,80.41,118.63,130.7,Accepté,Corrigé,Nuit,2.47
QC-00035,2026-05-08 20:15,Machine Vision 1,Pièce C,CAM-3,False,Aucun,81.99,89.54,49.72,82.42,,16.1,Accepté,Validé,Nuit,2.62
QC-00036,2026-01-08 15:00,Machine Vision 1,Boîte D,CAM-5,False,Aucun,79.93,79.52,51.53,85.1,124.99,13.1,Accepté,Corrigé,Après-midi,7.29
QC-00037,2026-05-19 08:15,Convoyeur C,Pièce B,CAM-1,False,Aucun,83.12,87.88,49.82,81.35,121.57,95.0,Accepté,Non vérifié,Nuit,1.11
QC-00038,2026-04-07 10:45,Machine Vision 2,Pièce B,CAM-2,False,Aucun,79.81,88.87,50.89,81.91,126.96,150.6,Accepté,Non vérifié,Après-midi,4.53
QC-00039,2026-06-06 07:15,Machine Vision 2,Pièce B,CAM-1,False,Aucun,79.5,61.06,51.71,76.28,117.5,188.1,Accepté,Validé,Nuit,4.82
QC-00040,2026-02-25 17:15,Machine Vision 2,Pièce B,CAM-7,True,Assemblage,73.27,47.91,47.68,77.89,105.98,118.5,Rejet,Corrigé,Matin,71.48
QC-00041,2026-02-04 12:30,Presse A,Pièce B,CAM-5,False,Aucun,87.79,95.8,47.86,81.58,115.0,183.8,Accepté,Validé,Matin,2.16
QC-00042,2026-02-12 11:15,Ligne Assemblage B,Boîte D,CAM-1,True,Rayure,79.18,32.17,49.45,80.5,120.74,138.8,Rejet,Non vérifié,Matin,21.45
QC-00043,2026-01-11 09:30,Ligne Assemblage B,Pièce B,CAM-3,False,Aucun,85.99,83.62,53.41,76.96,129.59,87.5,Accepté,Validé,Après-midi,1.26
QC-00044,2026-05-30 21:30,Machine Vision 2,Pièce C,CAM-6,False,Aucun,74.86,58.04,51.44,79.54,142.1,74.1,Accepté,Non vérifié,Nuit,5.34
